season,athlete_display_name,season_bpm_zscore
2025,Shai Gilgeous-Alexander,3.7074380158982225
2025,Nikola Jokic,3.505323038689213
2025,Giannis Antetokounmpo,2.479966205272321
2025,Luka Doncic,2.394131927742458
2025,Jayson Tatum,2.166062312297722
2025,Tyrese Haliburton,2.0625378769908913
2025,Donovan Mitchell,1.9962009456794418
2025,Jimmy Butler III,1.9725051500461332
2025,Evan Mobley,1.9342650488868447
2025,Stephen Curry,1.8939939097354659
2025,Jalen Williams,1.8937046897599856
2025,James Harden,1.8234960160934066
2025,Darius Garland,1.7660586555508042
2025,Victor Wembanyama,1.7279675834640644
2025,Derrick White,1.7209582006083162
2025,Damian Lillard,1.6973611334917618
2025,Anthony Edwards,1.6763958050393453
2025,LeBron James,1.5519202735157223
2025,Jarrett Allen,1.5328602218823126
2025,Ty Jerome,1.523850252368158
